z    mass    j
10.0   31622776601.683792   7.719e+01
10.0   31622.776601683792   5.082e+01
10.0   316227.7660168379   5.108e+01
10.0   3162277.6601683795   5.152e+01
10.0   31622776.60168379   5.238e+01
10.0   316227766.01683795   5.425e+01
10.0   3162277660.1683793   5.939e+01
11.0   31622776601.683792   9.810e+01
11.0   31622.776601683792   5.067e+01
11.0   316227.7660168379   5.100e+01
11.0   3162277.6601683795   5.158e+01
11.0   31622776.60168379   5.277e+01
11.0   316227766.01683795   5.554e+01
11.0   3162277660.1683793   6.429e+01
12.0   31622776601.683792   1.342e+02
12.0   31622.776601683792   4.803e+01
12.0   316227.7660168379   4.843e+01
12.0   3162277.6601683795   4.914e+01
12.0   31622776.60168379   5.074e+01
12.0   316227766.01683795   5.533e+01
12.0   3162277660.1683793   6.945e+01
13.0   31622776601.683792   2.059e+02
13.0   31622.776601683792   4.396e+01
13.0   316227.7660168379   4.442e+01
13.0   3162277.6601683795   4.530e+01
13.0   31622776.60168379   4.744e+01
13.0   316227766.01683795   5.383e+01
13.0   3162277660.1683793   7.665e+01
14.0   31622776601.683792   3.604e+02
14.0   31622.776601683792   3.832e+01
14.0   316227.7660168379   3.884e+01
14.0   3162277.6601683795   3.986e+01
14.0   31622776.60168379   4.309e+01
14.0   316227766.01683795   5.208e+01
14.0   3162277660.1683793   8.979e+01
15.0   31622776601.683792   6.803e+02
15.0   31622.776601683792   3.250e+01
15.0   316227.7660168379   3.306e+01
15.0   3162277.6601683795   3.425e+01
15.0   31622776.60168379   3.831e+01
15.0   316227766.01683795   5.223e+01
15.0   3162277660.1683793   1.151e+02
16.0   31622776601.683792   1.453e+03
16.0   31622.776601683792   2.669e+01
16.0   316227.7660168379   2.728e+01
16.0   3162277.6601683795   2.865e+01
16.0   31622776.60168379   3.386e+01
16.0   316227766.01683795   5.429e+01
16.0   3162277660.1683793   1.624e+02
17.0   31622776601.683792   3.128e+03
17.0   31622.776601683792   2.124e+01
17.0   316227.7660168379   2.185e+01
17.0   3162277.6601683795   2.341e+01
17.0   31622776.60168379   3.021e+01
17.0   316227766.01683795   6.057e+01
17.0   3162277660.1683793   2.494e+02
18.0   31622776601.683792   7.411e+03
18.0   31622.776601683792   1.642e+01
18.0   316227.7660168379   1.705e+01
18.0   3162277.6601683795   1.882e+01
18.0   31622776.60168379   2.786e+01
18.0   316227766.01683795   7.438e+01
18.0   3162277660.1683793   4.080e+02
19.0   31622776601.683792   1.737e+04
19.0   31622.776601683792   1.236e+01
19.0   316227.7660168379   1.299e+01
19.0   3162277.6601683795   1.517e+01
19.0   31622776.60168379   2.749e+01
19.0   316227766.01683795   9.835e+01
19.0   3162277660.1683793   7.033e+02
20.0   31622776601.683792   4.442e+04
20.0   31622.776601683792   9.073e+00
20.0   316227.7660168379   9.806e+00
20.0   3162277.6601683795   1.217e+01
20.0   31622776.60168379   2.937e+01
20.0   316227766.01683795   1.385e+02
20.0   3162277660.1683793   1.277e+03
21.0   31622776601.683792   1.165e+05
21.0   31622.776601683792   6.587e+00
21.0   316227.7660168379   7.230e+00
21.0   3162277.6601683795   9.979e+00
21.0   31622776.60168379   3.412e+01
21.0   316227766.01683795   2.053e+02
21.0   3162277660.1683793   2.341e+03
22.0   31622776601.683792   3.064e+05
22.0   31622.776601683792   4.641e+00
22.0   316227.7660168379   5.282e+00
22.0   3162277.6601683795   8.609e+00
22.0   31622776.60168379   4.230e+01
22.0   316227766.01683795   3.135e+02
22.0   3162277660.1683793   4.483e+03
23.0   31622776601.683792   8.919e+05
23.0   31622.776601683792   3.202e+00
23.0   316227.7660168379   3.882e+00
23.0   3162277.6601683795   7.858e+00
23.0   31622776.60168379   5.618e+01
23.0   316227766.01683795   4.902e+02
23.0   3162277660.1683793   8.661e+03
24.0   31622776601.683792   2.573e+06
24.0   31622.776601683792   2.202e+00
24.0   316227.7660168379   2.852e+00
24.0   3162277.6601683795   7.633e+00
24.0   31622776.60168379   7.744e+01
24.0   316227766.01683795   7.847e+02
24.0   3162277660.1683793   1.713e+04
25.0   31622776601.683792   7.623e+06
25.0   31622.776601683792   1.485e+00
25.0   316227.7660168379   2.162e+00
25.0   3162277.6601683795   8.050e+00
25.0   31622776.60168379   1.086e+02
25.0   316227766.01683795   1.269e+03
25.0   3162277660.1683793   3.541e+04
26.0   31622776601.683792   2.474e+07
26.0   31622.776601683792   1.007e+00
26.0   316227.7660168379   1.678e+00
26.0   3162277.6601683795   8.959e+00
26.0   31622776.60168379   1.570e+02
26.0   316227766.01683795   2.081e+03
26.0   3162277660.1683793   7.376e+04
27.0   31622776601.683792   8.262e+07
27.0   31622.776601683792   6.813e-01
27.0   316227.7660168379   1.373e+00
27.0   3162277.6601683795   1.057e+01
27.0   31622776.60168379   2.295e+02
27.0   316227766.01683795   3.480e+03
27.0   3162277660.1683793   1.566e+05
28.0   31622776601.683792   2.668e+08
28.0   31622.776601683792   4.589e-01
28.0   316227.7660168379   1.178e+00
28.0   3162277.6601683795   1.281e+01
28.0   31622776.60168379   3.396e+02
28.0   316227766.01683795   5.950e+03
28.0   3162277660.1683793   3.477e+05
29.0   31622776601.683792   9.569e+08
29.0   31622.776601683792   3.183e-01
29.0   316227.7660168379   1.056e+00
29.0   3162277.6601683795   1.613e+01
29.0   31622776.60168379   5.078e+02
29.0   316227766.01683795   1.015e+04
29.0   3162277660.1683793   7.962e+05
30.0   31622776601.683792   3.763e+09
30.0   31622.776601683792   2.245e-01
30.0   316227.7660168379   1.000e+00
