z,median_bh_mass,median_stellar_mass
24.541479362484676,100000.0,4335.439208593731
24.041945258307663,102200.33101844044,4678.094253298677
23.551927326295115,104516.81207949886,5047.530206532884
23.071444045928317,106958.85641813817,5453.860252273765
22.600490890210516,109534.02240392045,5897.925102529657
22.138507103521682,112250.42277630838,6389.357729044366
21.686025408348456,115119.66181741536,6915.091222712144
21.24199288256228,118151.42033984904,7498.246547887873
20.80692151688946,121359.23093114806,9103.728135823767
20.380313007782433,124754.6816286233,11021.506096087991
19.962163295252072,128350.28297521757,13779.305140816086
19.552027457508682,132163.03817987698,16966.623836898
19.149915370355444,136207.98782780705,20816.199431039888
18.75581808842704,140505.20632556156,25645.817678505697
18.36933446966762,145072.84304912368,32480.974650945405
17.99046678567359,149934.7285700492,41334.4325994083
17.618853451004487,155108.55116850382,58429.36773204846
17.25450429893576,160631.16118365116,85294.34019349937
16.89741203421985,166520.4847541957,119751.46619401588
16.54724595974662,172814.93441763095,170025.3437983356
16.204005092385508,179547.14757588558,247229.5429642445
15.867388590898358,186752.88752408582,348526.2762104047
15.537399328581586,194482.81950613266,480821.26803898625
15.21376224139049,202775.80865034583,579249.5684993106
14.896734810669887,211686.66323442015,701202.4305879604
14.58554907889405,221283.22357917394,846721.539794422
14.280706579872254,231613.70224479993,1015412.7426341776
13.98172229879547,242767.18812118974,1211666.7009399813
13.688601645123384,254813.4556054591,1461637.0266466832
13.401336444022006,267845.8320319178,1727477.393200649
13.119507511577996,281969.22886539745,2055086.9234708976
12.843321289643812,297292.2543436527,2441712.0023419578
12.572572545400256,313946.34910263703,2871471.469851795
12.306896964696804,332080.0328963299,3355805.7224914115
12.046654837699615,351849.82221137173,3889065.4174407246
11.791322366906291,373456.48324967735,4578693.668240318
11.541072010835485,397089.89995693316,5307728.381354406
11.29573706795854,423005.30819752,6222703.947675926
11.055164432442858,451449.6036392694,7189625.894440195
10.819353008616309,482766.8242252564,8164266.997595947
10.588156903644476,517284.30264198093,9301341.414754834
10.361441539702557,528329.2227968129,10741709.760964042
10.139206665701268,567289.7880053357,12293188.213465875
9.921203516627534,610419.8323185964,14077250.012455901
9.707555250985095,658273.3802013533,16088087.564136583
9.498026371042245,711490.7674056416,18135053.95020335
9.292725101897977,770813.9715560334,20619788.86169458
9.091326504869064,837073.8240634752,23708873.147030294
8.893936995409213,911299.3878016637,26885366.87279533
8.700356003065313,994624.505651347,30208458.33819692
8.510585281418217,1088409.5241071202,33958346.81585804
8.324530976091902,1110977.6688657051,38104293.18513154
8.142104878227164,1219061.105211928,42425282.55449694
7.963223892369607,1341327.7247063306,47019017.92262681
7.787886776866767,1480085.3265601462,51486433.26528608
7.615936035290874,1638081.7277262441,56375288.33431004
7.447372867038352,1671015.482936679,61377147.87750318
7.282122210995345,1854939.5252829168,65537955.37208228
7.120046771469404,2065632.2036052283,70785845.33090737
6.961212970408171,2105979.196937958,75922789.24120763
6.805487257542052,2352640.597777472,81249488.22723624
6.652748867393167,2637005.448174531,86816460.45982039
6.503057495929591,2686967.310220299,93659946.20045686
6.356240666769653,3022004.026671257,99520471.1152047
6.21235331876438,3077588.2174598696,107463053.39578086
6.0712356277135875,3473458.128139744,113540924.40691006
5.932889628397116,3535456.488847433,120841376.87250893
5.797264780652266,4004763.8994744443,129132419.80778581
5.664267530355739,4074104.093295095,138491511.35597932
5.53389786210862,4631998.65522195,149974577.89489555
5.406067827446157,5286551.149291591,162635099.54080227
5.280736353530088,6057443.877320016,174285585.2415768
5.1578629752330745,6968917.0756094875,189098763.38535136
5.037371328523561,8051305.600711292,207395698.4564922
4.919261276192731,9341591.320276741,210898660.0528697
