z,median_bh_mass,median_stellar_mass
24.54147936248468,10.0,2818.182029276197
24.041945258307663,10.49464518999015,3016.576174165377
23.551927326295115,11.030048035206367,3226.8374810410314
23.07144404592832,11.610199131305313,3461.3149968251873
22.60049089021052,12.239547345359965,3691.6250493816297
22.13850710352168,12.923894298617904,3955.350781754311
21.686025408348456,13.668070211048342,4385.529720489916
21.24199288256228,14.480214745254598,4848.086782909921
20.80692151688946,15.366700521643057,5330.81833641209
20.380313007782437,16.336733636162936,5878.326905219603
19.962163295252072,17.399697074075032,6489.563655368645
19.55202745750868,18.567470362591518,7122.0082359757325
19.149915370355444,19.85236688478945,8287.551667815886
18.75581808842704,21.26837633623623,10317.822522564322
18.36933446966762,22.833033331049826,12866.622723457036
17.99046678567359,24.564909324313927,16342.147099595015
17.618853451004487,26.48716161051387,20562.674163401407
17.25450429893576,28.624672357848286,25767.42027347377
16.89741203421985,31.006069293055518,32135.198989615146
16.54724595974662,33.66685441876754,39670.684213451765
16.204005092385508,36.645898633605135,55658.198158998115
15.867388590898358,39.99130261234617,78569.82628758813
15.537399328581586,43.75640123894312,111028.18140861433
15.21376224139049,48.00712202243613,156631.36762524815
14.896734810669887,52.8133419262832,223196.25414390865
14.58554907889405,58.2742827298014,310857.2281909436
14.280706579872254,64.48496069525241,441150.1082395038
13.98172229879547,71.5777350504588,546662.5876528514
13.688601645123384,79.69988354202066,644972.2986381615
13.401336444022006,89.02663951990169,767830.5999412045
13.119507511577996,99.78358905030565,904526.3545150604
12.843321289643812,112.2182590677437,1050657.8877092698
12.572572545400256,126.64661561770242,1242325.9029382165
12.306896964696804,143.46575695707122,1479358.0140387956
12.046654837699617,163.10980810010653,1707911.487835892
11.791322366906291,186.17761775495538,1961567.253995271
11.541072010835483,213.344282218099,2311756.4211030724
11.29573706795854,245.4747848906392,2678551.0903951754
11.055164432442858,283.64357821273484,3104662.9645650163
10.819353008616307,329.1618437374368,3545530.276233432
10.588156903644476,383.69535707014325,4110708.527671173
10.361441539702556,449.340846911248,4744091.082614211
10.139206665701268,528.7016122234492,5430794.410345812
9.921203516627534,625.1808068011374,6238439.2619457105
9.707555250985097,742.9429952996994,7145081.495274095
9.498026371042243,887.5201839741594,8039523.283663286
9.292725101897975,1065.7840497208874,9140302.190208957
9.091326504869064,1287.0402079814835,10345117.682710126
8.893936995409213,1562.9471133437942,11694386.667961508
8.700356003065313,1909.2001892572994,13342395.5429583
8.510585281418217,2346.1487259121855,15095731.123518968
8.324530976091902,2900.9664216543288,17047937.73880405
8.142104878227164,3609.9490408603933,19324170.065846417
7.963223892369607,4521.897258851125,22047371.964138553
7.787886776866767,5702.273997939866,24917125.770873815
7.615936035290874,7241.387465720765,27795055.68142211
7.447372867038352,9261.714228585568,31059848.65868391
7.282122210995345,11933.104403798794,34878422.71683877
7.120046771469404,15493.653877042496,38522738.48331082
6.961212970408171,20272.117331020327,42607658.18500575
6.805487257542052,26738.601828939547,47385842.993172824
6.652748867393167,35565.25936704829,52219421.89433009
6.503057495929591,47705.76167213595,58508598.06877494
6.356240666769653,64562.44186511024,63668233.46309311
6.21235331876438,88158.7543599047,70814293.53160143
6.071235627713588,121517.86209677714,78877519.93652815
5.932889628397116,169110.06826469087,88190958.3978351
5.797264780652266,237668.0044866328,98165525.73848176
5.664267530355739,337454.59051280044,108391852.23440184
5.53389786210862,484143.04159286385,121035302.09073597
5.406067827446157,702138.008838381,134628752.58026215
5.280736353530088,1029648.3665182764,150448494.98807853
5.1578629752330745,1527222.7937268538,166140874.5695623
5.037371328523561,2292181.487060676,184278551.43466032
4.919261276192731,3481838.948622402,185300040.4873012
